id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget	expression	definitionStatusId	correlationId	contentOriginId
062bc5c1-c25f-4d9a-8a90-e013f7f8b055	20140926	1	705115006	705110001	705114005	8141-4	363787002:70434600=(386053000:704347000=(414237002:704318007=118589004,704320005=703841004,704319004=31773000),704327008=258459007,246501002=703690001,370132008=117363000)	900000000000073002	447557004	705117003
e101d063-b0a9-4ff3-8cdc-4904197c7da1	20140926	1	705115006	705110001	705114005	6426-1	363787002:70434600=(386053000:246501002=703447009,704347000=(414237002:704320005=120666003,704318007=118569000,704319004=50863008),370132008=30766002,704327008=119364003)	900000000000073002	447557004	705117003
2c7d9237-7ab9-444d-8ca4-73b3690f0fd2	20140926	1	705115006	705110001	705114005	46702-7	363787002:70434600=(386053000:704327008=122567009,246501002=702659008,370132008=30766002,704347000=(414237002:704318007=118549005,704320005=702962009,704319004=386100006))	900000000000073002	447557004	705117003
d08b7341-88bc-42c3-a73c-216818f68860	20140926	1	705115006	705110001	705114005	15011-0	363787002:70434600=(386053000:704347000=(414237002:704318007=118556004,704326004=40199007,704319004=50863008,704320005=42605004),704327008=122592007,370132008=30766002)	900000000000073002	447557004	705117003
a23ac2d3-f2df-4b0f-a01a-33edb8e16f23	20140926	1	705115006	705110001	705114005	34407-7	363787002:70434600=(386053000:704327008=122592007,370132008=30766002,704347000=(414237002:704318007=118539007,704320005=50762005,704319004=50863008))	900000000000073002	447557004	705117003
014d75f9-a2d8-43ea-9ed1-da1a4b9a0d02	20140926	1	705115006	705110001	705114005	23815-4	363787002:70434600=(386053000:704327008=122575003,704347000=(414237002:704323007=123027009,704321009=63911002,704318007=118544000,704324001=103048000),370132008=30766002)	900000000000073002	447557004	705117003
3aea215a-0ec5-480e-a778-9d0093f5b2ad	20140926	1	705115006	705110001	705114005	32004-4	363787002:70434600=(386053000:246501002=703447009,704327008=122575003,704347000=(414237002:704320005=121018001,704318007=118569000,704319004=78014005),370132008=117363000)	900000000000073002	447557004	705117003
7f008fbc-0f91-401c-b594-9cfec0fdba6d	20140926	1	705115006	705110001	705114005	43923-2	363787002:70434600=(386053000:704327008=122592007,370132008=117363000,704347000=(414237002:704318007=118569000,704319004=50863008,704320005=115361002))	900000000000073002	447557004	705117003
ac50ecbf-24c8-4e7d-8ec9-594064879e25	20140926	1	705115006	705110001	705114005	19193-2	363787002:70434600=(386053000:704327008=122592007,370132008=30766002,704347000=(414237002:704318007=118569000,704319004=50863008,704320005=102766008))	900000000000073002	447557004	705117003
51a6af75-50a6-44ba-8254-7dfde38fd2f5	20140926	1	705115006	705110001	705114005	22109-3	363787002:70434600=(386053000:704347000=(414237002:704318007=118569000,704320005=120876003),370132008=30766002,704327008=123038009)	900000000000073002	447557004	705117003
52dd7c2f-9e00-47a9-8ca8-9898c90d12b1	20140926	1	705115006	705110001	705114005	8146-3	363787002:70434600=(386053000:246501002=703501003,704347000=(414237002:704318007=118589004,704320005=703841004,704319004=28112009),704327008=119340004,370132008=117363000)	900000000000073002	447557004	705117003
5de0223d-3e8b-4d6d-8d8d-8cf9a5808fa5	20140926	1	705115006	705110001	705114005	30379-2	363787002:70434600=(386053000:704347000=(414237002:704318007=118552002,704320005=702964005,704319004=2778004,704325000=702962009),704327008=418564007,246514001=415067009,370132008=30766002)	900000000000073002	447557004	705117003
5e99d391-852d-4ebb-8add-6319d403d683	20140926	1	705115006	705110001	705114005	63371-9	363787002:70434600=(386053000:704347000=(414237002:704320005=76781009,704318007=118569000,704319004=78014005,704326004=703769001),704327008=122575003,246501002=702660003,370132008=117363000)	900000000000073002	447557004	705117003
b8ff9099-c0da-4ec0-8a59-74b78f5430de	20140926	1	705115006	705110001	705114005	11227-6	363787002:70434600=(386053000:704327008=119297000,704347000=(414237002:704319004=87612001,704320005=71975005,704318007=118569000),370132008=117363000)	900000000000073002	447557004	705117003
2d466c5f-6a25-4ca8-947c-549d38a94e5f	20140926	1	705115006	705110001	705114005	55832-0	363787002:70434600=(386053000:704327008=122592007,370132008=30766002,704347000=(414237002:704320005=130668008,704318007=118556004,704319004=50863008))	900000000000073002	447557004	705117003
83b8c390-ff68-46e1-82d6-82d4e7a46ac3	20140926	1	705115006	705110001	705114005	18955-5	363787002:70434600=(386053000:370132008=117365007,704327008=119303007,704347000=(414237002:704320005=373543005,704318007=118588007,704319004=386126001))	900000000000073002	447557004	705117003
